course_name,schedule_type,quarter,department,course_number,course_url
Perspectives on American Journalism,Required,Autumn,COMM,225,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=COMM+225&collapse=,
Public Affairs Data Journalism I,Required,Autumn,COMM,273D,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=Public+Affairs+Data+Journalism+I&collapse=,
Multimedia Storytelling,Required,Autumn,COMM,275,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=COMM+275+Multimedia+Storytelling&collapse=,
News Reporting + Writing Fundamentals,Required,Autumn,COMM,279,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=COMM+279&collapse=,
Journalism Law,Required,Winter,COMM,216,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=COMM+216&collapse=,
Public Affairs Data Journalism II,Required,Winter,COMM,274D,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=COMM+274D&collapse=,
Graduate Journalism Seminar,Required,Winter,COMM,291,http://comm291.stanford.edu/,
Digital Media Entrepreneurship,Required,Spring,COMM,240,http://dme.stanford.edu/,
Journalism Thesis,Required,Spring,COMM,289P,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=COMM+289P&collapse=,
Science and Environmental Journalism,Specialized,Autumn,COMM,277C,https://explorecourses.stanford.edu/search?view=catalog&filter-coursestatus-Active=on&page=0&catalog=&academicYear=&q=COMM+277C&collapse=,
